"tanggal","provinsi","0-5","6-18","19-30","31-45","45-59",">=60","tidak diketahui"
"2021-05-06","SUMATERA BARAT",985,4504,8956,10129,8374,4211,1102
"2021-05-08","SUMATERA BARAT",1005,4584,9090,10266,8497,4299,1103
"2021-05-10","SUMATERA BARAT",1022,4642,9213,10379,8616,4368,1103
"2021-05-13","SUMATERA BARAT",1046,4722,9417,10569,8760,4494,1103
"2021-05-14","SUMATERA BARAT",1046,4722,9417,10569,8760,4494,1103
"2021-05-16","SUMATERA BARAT",1051,4728,9443,10596,8793,4538,1103
"2021-05-19","SUMATERA BARAT",1071,4801,9605,10752,8921,4651,1103
"2021-05-25","SUMATERA BARAT",1130,5027,10055,11236,9257,4912,1105
"2021-05-26","SUMATERA BARAT",1140,5056,10138,11304,9319,4948,1107
"2021-05-29","SUMATERA BARAT",1160,5165,10372,11510,9489,5052,1110
"2021-05-31","SUMATERA BARAT",1169,5205,10494,11606,9570,5102,1112
"2021-06-02","SUMATERA BARAT",1181,5243,10587,11707,9657,5176,1116
"2021-06-10","SUMATERA BARAT",1247,5505,11197,12298,10116,5506,1128
"2021-06-12","SUMATERA BARAT",1258,5571,11342,12410,10208,5589,1129
"2021-06-13","SUMATERA BARAT",1261,5589,11421,12482,10274,5618,1129
"2021-03-24","SUMATERA SELATAN",504,1371,3796,4973,3695,2303,409
"2021-03-28","SUMATERA SELATAN",504,1392,3874,5114,3779,2365,415
"2021-04-07","SUMATERA SELATAN",518,1434,4059,5350,3938,2466,423
"2021-04-12","SUMATERA SELATAN",523,1472,4138,5465,4023,2521,424
"2021-04-15","SUMATERA SELATAN",525,1486,4194,5513,4082,2543,424
"2021-04-16","SUMATERA SELATAN",527,1495,4208,5531,4101,2558,424
"2021-04-17","SUMATERA SELATAN",529,1512,4230,5572,4130,2573,424
"2021-04-18","SUMATERA SELATAN",531,1518,4242,5599,4157,2600,424
"2021-04-19","SUMATERA SELATAN",534,1525,4266,5626,4183,2624,424
"2021-04-20","SUMATERA SELATAN",536,1531,4284,5653,4203,2643,425
"2021-04-21","SUMATERA SELATAN",538,1542,4305,5684,4231,2662,425
"2021-04-22","SUMATERA SELATAN",543,1550,4330,5730,4251,2676,426
"2021-04-23","SUMATERA SELATAN",547,1557,4355,5758,4269,2695,426
"2021-04-24","SUMATERA SELATAN",550,1565,4383,5791,4302,2715,426
"2021-04-25","SUMATERA SELATAN",550,1583,4412,5837,4330,2737,427
"2021-04-26","SUMATERA SELATAN",549,1592,4437,5868,4354,2748,427
"2021-04-27","SUMATERA SELATAN",555,1601,4459,5888,4377,2759,429
"2021-04-30","SUMATERA SELATAN",570,1624,4530,5978,4472,2844,430
"2021-05-01","SUMATERA SELATAN",574,1635,4563,6022,4501,2870,430
"2021-05-02","SUMATERA SELATAN",579,1644,4587,6059,4530,2896,430
"2021-05-04","SUMATERA SELATAN",580,1664,4638,6121,4579,2934,433
"2021-05-06","SUMATERA SELATAN",583,1681,4689,6188,4646,2988,433
"2021-05-08","SUMATERA SELATAN",593,1716,4766,6261,4702,3029,433
"2021-05-10","SUMATERA SELATAN",602,1732,4814,6349,4769,3072,433
"2021-05-13","SUMATERA SELATAN",607,1760,4881,6443,4852,3120,433
"2021-05-14","SUMATERA SELATAN",608,1765,4893,6459,4869,3136,433
"2021-05-16","SUMATERA SELATAN",609,1773,4925,6502,4909,3163,433
"2021-05-19","SUMATERA SELATAN",618,1783,4964,6578,4968,3219,433
"2021-05-25","SUMATERA SELATAN",643,1861,5161,6821,5158,3354,437
"2021-05-26","SUMATERA SELATAN",645,1880,5197,6867,5197,3371,437
"2021-05-29","SUMATERA SELATAN",662,1933,5291,7011,5297,3432,442
"2021-05-31","SUMATERA SELATAN",667,1958,5349,7085,5355,3476,442
"2021-06-02","SUMATERA SELATAN",683,1993,5398,7156,5421,3518,442
"2021-06-10","SUMATERA SELATAN",708,2091,5657,7507,5664,3691,444
"2021-06-12","SUMATERA SELATAN",710,2109,5734,7594,5748,3735,444
"2021-06-13","SUMATERA SELATAN",713,2121,5763,7650,5771,3760,445
"2021-03-24","SUMATERA UTARA",553,2249,6240,8053,6130,3100,493
"2021-03-28","SUMATERA UTARA",559,2278,6321,8122,6201,3146,493
"2021-04-07","SUMATERA UTARA",572,2344,6477,8335,6369,3258,493
"2021-04-12","SUMATERA UTARA",584,2380,6552,8449,6449,3313,493
"2021-04-15","SUMATERA UTARA",586,2398,6599,8488,6504,3347,493
"2021-04-16","SUMATERA UTARA",590,2402,6613,8509,6518,3356,493
"2021-04-17","SUMATERA UTARA",591,2405,6632,8522,6537,3364,493
"2021-04-18","SUMATERA UTARA",592,2410,6645,8537,6555,3373,493
"2021-04-19","SUMATERA UTARA",593,2411,6659,8556,6577,3385,493
"2021-04-20","SUMATERA UTARA",594,2414,6676,8571,6596,3397,493
"2021-04-21","SUMATERA UTARA",594,2419,6684,8589,6618,3412,493
"2021-04-22","SUMATERA UTARA",595,2429,6696,8608,6629,3425,493
"2021-04-23","SUMATERA UTARA",596,2438,6706,8628,6642,3437,493
"2021-04-24","SUMATERA UTARA",598,2443,6717,8647,6658,3448,493
"2021-04-25","SUMATERA UTARA",600,2448,6736,8667,6672,3450,493
"2021-04-26","SUMATERA UTARA",603,2450,6746,8684,6690,3469,493
"2021-04-27","SUMATERA UTARA",604,2456,6755,8706,6710,3474,493
"2021-04-30","SUMATERA UTARA",605,2466,6791,8764,6768,3512,493
"2021-05-01","SUMATERA UTARA",606,2469,6798,8780,6788,3524,493
"2021-05-02","SUMATERA UTARA",608,2473,6812,8800,6804,3532,493
"2021-05-04","SUMATERA UTARA",609,2485,6836,8833,6840,3557,493
"2021-05-06","SUMATERA UTARA",611,2500,6869,8869,6883,3580,493
"2021-05-08","SUMATERA UTARA",612,2508,6903,8933,6925,3608,493
"2021-05-10","SUMATERA UTARA",616,2525,6939,8971,6962,3641,493
"2021-05-13","SUMATERA UTARA",621,2549,6984,9035,7034,3674,493
"2021-05-14","SUMATERA UTARA",621,2563,6999,9061,7049,3690,493
"2021-05-16","SUMATERA UTARA",623,2573,7035,9104,7080,3724,493
"2021-05-19","SUMATERA UTARA",625,2608,7096,9174,7158,3756,493
"2021-05-25","SUMATERA UTARA",635,2654,7187,9329,7301,3873,493
"2021-05-26","SUMATERA UTARA",636,2658,7205,9357,7326,3882,493
"2021-05-29","SUMATERA UTARA",640,2686,7257,9429,7400,3918,493
"2021-05-31","SUMATERA UTARA",644,2693,7299,9474,7439,3951,493
"2021-06-02","SUMATERA UTARA",646,2711,7335,9523,7488,3985,493
"2021-06-10","SUMATERA UTARA",668,2792,7498,9765,7676,4134,493
"2021-06-12","SUMATERA UTARA",678,2812,7537,9828,7731,4161,493
"2021-06-13","SUMATERA UTARA",679,2820,7552,9850,7745,4174,493
"2021-06-10","SUMATERA_SELATAN",NA,NA,NA,NA,NA,NA,NA
"2021-06-12","SUMATERA_SELATAN",NA,NA,NA,NA,NA,NA,NA
